sampleID	D10.9_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D10.8_GNF2-CDH3	D10.7_CHASSOT-SKIN-WOUND	D10.6_PROTEIN-DEACETYLASE-ACTIVITY	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.8_BIOCARTA-ETC-PATHWAY
TCGA-4C-A93U-01A-11R-A39I-07	7.071339e-01	4.969916e-01	0	2.632039e-01	3.457373e+00	3.455184e-01
TCGA-BJ-A0YZ-01A-11R-A10U-07	2.810541e-01	1.735068e-01	0	0	1.435938e+00	7.904852e-01
TCGA-BJ-A0Z0-01A-11R-A10U-07	0	0	8.546062e-02	1.836050e+00	0	2.716288e-01
TCGA-BJ-A0Z2-01A-11R-A10U-07	2.668201e-01	0	0	2.720084e+00	2.920787e-01	3.485079e-01
TCGA-BJ-A0Z3-01A-11R-A13Y-07	1.004263e+00	0	5.347919e-01	0	1.001995e+00	1.652914e-01
TCGA-BJ-A0Z5-01A-11R-A10U-07	2.744020e-01	4.146718e-01	0	8.758844e-01	9.290342e-01	6.981722e-01
TCGA-BJ-A0Z9-01A-11R-A10U-07	4.965711e-01	1.490865e+00	0	0	1.975832e+00	1.081295e+00
TCGA-BJ-A0ZA-01A-11R-A10U-07	5.331047e-01	3.879467e-01	4.605647e-01	2.375933e+00	2.170930e-03	4.911296e-01
TCGA-BJ-A0ZB-01A-11R-A10U-07	1.683323e-01	8.742157e-02	0	8.987756e-02	2.259353e+00	5.996761e-01
TCGA-BJ-A0ZC-01A-12R-A13Y-07	4.021222e-01	0	7.936323e-01	0	2.756303e-01	6.062894e-01
TCGA-BJ-A0ZE-01A-11R-A10U-07	0	2.582471e-01	0	2.772466e+00	7.877692e-02	1.142888e+00
TCGA-BJ-A0ZG-01A-11R-A10U-07	3.821998e-01	0	1.997255e+00	6.646035e-02	6.975636e-01	4.887224e-01
TCGA-BJ-A0ZH-01A-11R-A10U-07	5.069135e-01	8.637933e-01	0	4.456903e-01	1.553698e+00	7.060407e-01
TCGA-BJ-A0ZJ-01A-11R-A10U-07	1.009063e+00	0	1.146603e+00	6.288180e-01	7.977531e-01	2.720456e-01
TCGA-BJ-A18Y-01A-11R-A13Y-07	1.636276e-01	0	1.174878e+00	2.342568e+00	9.451494e-01	2.929664e-01
TCGA-BJ-A18Z-01A-21R-A13Y-07	4.279407e-01	5.022810e-01	0	5.533775e-01	2.862058e+00	4.393242e-01
TCGA-BJ-A190-01A-11R-A13Y-07	0	0	1.404574e+00	0	3.859707e-01	8.479510e-01
TCGA-BJ-A191-01A-11R-A13Y-07	7.468345e-01	1.153450e+00	0	0	0	3.858766e-01
TCGA-BJ-A192-01A-31R-A13Y-07	4.026266e-01	3.480810e-01	3.076919e-01	6.604071e-01	9.145280e-01	1.194450e+00
TCGA-BJ-A28R-11A-11R-A16R-07	1.132686e+00	0	2.322866e+00	0	5.111554e-01	6.770707e-01
TCGA-BJ-A28R-01A-11R-A16R-07	7.320408e-01	1.037331e+00	0	9.182974e-02	1.227921e+00	5.585315e-01
TCGA-BJ-A28S-01A-11R-A19O-07	0	0	0	3.078096e+00	6.344941e-01	3.291134e-01
TCGA-BJ-A28T-01A-11R-A16R-07	1.360709e+00	1.907382e-02	1.771653e+00	1.804965e-01	1.301635e+00	3.571516e-01
TCGA-BJ-A28V-01A-11R-A19O-07	0	1.364994e-01	5.817672e-01	6.394574e-01	6.344580e-01	1.524775e-01
TCGA-BJ-A28W-11A-11R-A32Y-07	1.323981e+00	1.685807e-01	3.933349e-01	1.295369e+00	5.416873e-01	1.453107e+00
TCGA-BJ-A28W-01A-11R-A32Y-07	1.713269e+00	0	1.904907e+00	0	3.599799e-01	8.932991e-01
TCGA-BJ-A28X-11A-11R-A22L-07	1.437322e+00	0	2.099757e+00	0	6.935353e-01	4.367259e-01
TCGA-BJ-A28X-01A-11R-A22L-07	1.176316e+00	5.262393e-01	4.175671e-01	2.728001e-01	2.239005e+00	3.836138e-01
TCGA-BJ-A28Z-01A-11R-A16R-07	1.350536e+00	3.486247e-01	3.270407e-02	1.477684e+00	1.818754e+00	3.471344e-01
TCGA-BJ-A290-11A-11R-A180-07	2.484382e-01	0	2.817514e+00	0	7.120489e-01	5.717344e-01
TCGA-BJ-A290-01A-11R-A180-07	0	0	0	2.558903e-01	1.928774e+00	1.831955e-02
TCGA-BJ-A291-01A-11R-A16R-07	2.588542e-01	0	8.231842e-01	1.962341e-01	6.431539e-01	8.323586e-01
TCGA-BJ-A2N7-11A-11R-A18C-07	1.388872e-01	0	2.724958e+00	0	3.896550e-01	5.087063e-01
TCGA-BJ-A2N7-01A-11R-A18C-07	1.187156e-01	2.578581e-02	1.127126e+00	1.974786e+00	8.936223e-01	6.265907e-01
TCGA-BJ-A2N8-11A-11R-A18C-07	6.736545e-02	0	2.155037e+00	0	3.195270e-01	6.858733e-01
TCGA-BJ-A2N8-01A-11R-A18C-07	3.582370e-01	5.709941e-01	4.186227e-01	2.148415e+00	1.819802e-01	7.414787e-01
TCGA-BJ-A2N9-11A-11R-A18C-07	1.266791e+00	0	2.674699e+00	0	4.268450e-01	7.166636e-01
TCGA-BJ-A2N9-01A-11R-A18C-07	8.971593e-01	0	1.103067e+00	0	0	1.625921e+00
TCGA-BJ-A2NA-11A-11R-A19O-07	9.877420e-01	0	2.170129e+00	0	4.338916e-01	8.145901e-01
TCGA-BJ-A2NA-01A-12R-A19O-07	5.183087e-01	9.141398e-01	1.742619e-01	1.561327e-01	1.676748e+00	6.656116e-01
TCGA-BJ-A2P4-01A-11R-A18C-07	2.581076e-01	0	3.497574e-01	2.974755e+00	1.072767e+00	4.269717e-01
TCGA-BJ-A3EZ-01A-11R-A206-07	3.919603e-01	1.056491e+00	0	1.181826e-01	2.076185e+00	8.128356e-01
TCGA-BJ-A3F0-01A-11R-A206-07	2.857456e-01	0	3.708561e-01	1.207889e+00	8.139116e-01	7.719350e-01
TCGA-BJ-A3PR-11A-11R-A220-07	1.188071e+00	1.475354e-02	2.605445e+00	0	4.091440e-01	1.124611e+00
TCGA-BJ-A3PR-01A-11R-A220-07	1.505637e+00	7.724779e-01	8.350928e-01	2.879958e-01	1.681190e+00	6.694618e-01
TCGA-BJ-A3PT-01A-12R-A220-07	6.254280e-01	0	1.275427e+00	1.959356e+00	1.349614e+00	7.028104e-01
TCGA-BJ-A3PU-11A-11R-A220-07	2.228536e-01	0	2.873718e+00	0	6.613928e-01	6.197501e-01
TCGA-BJ-A3PU-01A-11R-A220-07	4.599712e-01	1.222987e+00	0	0	1.588510e+00	1.376608e+00
TCGA-BJ-A45C-01A-11R-A23W-07	0	2.953665e-01	1.221203e+00	8.484840e-01	3.604668e-01	3.289396e-01
TCGA-BJ-A45D-01A-11R-A23W-07	4.613358e-01	3.132741e-01	3.899306e-01	2.647929e+00	9.029896e-01	7.416748e-01
TCGA-BJ-A45E-01A-11R-A32Y-07	1.749082e+00	0	3.414371e-01	0	1.507902e+00	1.166229e+00
TCGA-BJ-A45F-01A-12R-A23W-07	2.866711e-01	0	4.864143e-01	2.692053e+00	1.005462e+00	8.297235e-01
TCGA-BJ-A45G-01A-11R-A23W-07	2.089814e-01	2.106732e-01	1.402261e+00	2.067615e+00	5.141531e-01	4.909982e-01
TCGA-BJ-A45H-01A-12R-A23W-07	4.753341e-01	4.292744e-01	1.325752e+00	8.841225e-01	1.328203e+00	2.969253e-01
TCGA-BJ-A45I-01A-11R-A23W-07	8.788643e-01	8.258872e-01	0	1.180596e-01	2.653248e+00	5.805508e-01
TCGA-BJ-A45J-01A-11R-A23W-07	3.144019e-01	1.382364e+00	0	6.306789e-01	1.260214e+00	2.689193e-01
TCGA-BJ-A45K-01A-11R-A23W-07	0	1.213459e-01	6.624894e-01	9.247630e-01	8.758822e-01	9.936328e-02
TCGA-BJ-A4O8-01A-11R-A250-07	6.862517e-01	5.850349e-01	0	3.593163e-01	2.560758e+00	2.607627e-01
TCGA-BJ-A4O9-01A-11R-A250-07	0	0	0	0	1.965696e-01	9.716172e-01
TCGA-CE-A13K-01A-11R-A10U-07	3.800204e-01	3.047997e-01	0	2.694553e+00	1.256657e+00	1.466174e-01
TCGA-CE-A27D-01A-11R-A16R-07	1.178717e+00	1.341040e-01	1.279392e+00	1.364848e+00	1.363175e+00	3.715268e-01
TCGA-CE-A3MD-01A-11R-A20F-07	5.156925e-01	6.148626e-02	0	2.582587e+00	1.596782e+00	1.952300e-01
TCGA-CE-A3ME-01A-11R-A20F-07	3.390943e-01	7.939085e-01	0	0	1.147604e+00	9.328750e-01
TCGA-CE-A481-01A-21R-A23W-07	7.946575e-01	2.641151e-01	5.338287e-01	2.607067e+00	1.322679e+00	1.626484e-03
TCGA-CE-A482-01A-11R-A23W-07	3.646674e-01	6.878781e-01	0	2.352169e+00	1.496189e+00	9.989412e-02
TCGA-CE-A483-01A-11R-A23W-07	1.496162e-01	6.483875e-01	3.382706e-02	1.218471e-01	1.047633e+00	4.932738e-01
TCGA-CE-A484-01A-11R-A23W-07	7.379955e-02	0	2.096426e-01	2.886873e+00	1.026648e+00	1.704052e-01
TCGA-CE-A485-01A-11R-A23W-07	5.645771e-01	3.837361e-01	7.600340e-01	1.642720e+00	2.364719e+00	0
TCGA-DE-A0XZ-01A-11R-A180-07	9.207611e-01	0	0	8.220811e-01	1.304936e+00	0
TCGA-DE-A0Y2-01A-11R-A10U-07	2.129021e-01	1.879340e+00	0	2.077729e-01	1.264607e+00	7.474143e-01
TCGA-DE-A0Y3-01B-11R-A10U-07	2.142487e-01	1.479018e+00	0	0	1.061712e+00	7.802973e-01
TCGA-DE-A2OL-01A-11R-A18C-07	0	2.724838e-01	6.892548e-01	6.050176e-01	6.286667e-01	1.055626e-01
