pValue	topAUC	KSstat	GSname
0.0000000146	0.8026	0.8744	LIANG_SILENCED_BY_METHYLATION_DN
0.0000000000	0.7964	0.8987	LY_AGING_MIDDLE_DN
0.0000000000	0.7962	0.9270	GNF2_MKI67
0.0000000951	0.7863	0.8665	KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN
0.0000000000	0.7704	0.8827	GNF2_RRM2
0.0000000000	0.7358	0.8377	GNF2_HMMR
0.0000000000	0.7325	0.8481	GNF2_CCNB2
0.0000000000	0.7312	0.8474	GNF2_CDC20
0.0000000000	0.7295	0.8445	GNF2_CENPE
0.0000000000	0.7246	0.8524	GNF2_CENPF
0.0000000000	0.7241	0.8376	GNF2_CDC2
0.0000000000	0.7193	0.8279	GNF2_BUB1
0.0000000000	0.7192	0.8300	GNF2_CCNA2
0.0000000000	0.7190	0.8198	GNF2_ESPL1
0.0000000000	0.7148	0.9016	GNF2_H2AFX
0.0000007821	0.7133	0.7750	SHANK_TAL1_TARGETS_DN
0.0000000002	0.7032	0.8131	FINETTI_BREAST_CANCER_KINOME_RED
0.0000000000	0.6966	0.7547	LEE_EARLY_T_LYMPHOCYTE_UP
0.0000000000	0.6941	0.8213	GNF2_SMC2L1
0.0000000000	0.6919	0.8501	GNF2_TTK
0.0000000000	0.6804	0.8294	GNF2_PCNA
0.0000001461	0.6777	0.7529	MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP
0.0000000000	0.6656	0.7640	ZHAN_MULTIPLE_MYELOMA_PR_UP
0.0000084348	0.6583	0.6931	BIOCARTA_TCRA_PATHWAY
0.0000000000	0.6575	0.7836	WHITFIELD_CELL_CYCLE_LITERATURE
0.0000000000	0.6563	0.8072	GNF2_MCM4
0.0000000000	0.6409	0.7351	SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN
0.0000000000	0.6334	0.7686	ISHIDA_E2F_TARGETS
0.0000000000	0.6330	0.7791	GNF2_BUB1B
0.0000000000	0.6267	0.7485	KANG_DOXORUBICIN_RESISTANCE_UP
0.0000000000	0.6209	0.7711	EGUCHI_CELL_CYCLE_RB1_TARGETS
0.0000000000	0.6107	0.7814	GNF2_CKS2
0.0000000000	0.6052	0.6945	AMUNDSON_GAMMA_RADIATION_RESPONSE
0.0000000000	0.5942	0.7766	GNF2_FEN1
0.0000000272	0.5787	0.5843	LEE_DOUBLE_POLAR_THYMOCYTE
0.0000000000	0.5755	0.6720	CROONQUIST_NRAS_SIGNALING_DN
0.0000000557	0.5716	0.5958	FERRANDO_HOX11_NEIGHBORS
0.0011090788	0.5702	0.6046	BIOCARTA_TCAPOPTOSIS_PATHWAY
0.0000000000	0.5634	0.6947	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER
0.0000002071	0.5631	0.6445	REACTOME_G1_S_SPECIFIC_TRANSCRIPTION
0.0000488457	0.5624	0.6237	BIOCARTA_TCYTOTOXIC_PATHWAY
0.0000000978	0.5595	0.7864	KALMA_E2F1_TARGETS
0.0000488457	0.5593	0.6237	BIOCARTA_THELPER_PATHWAY
0.0000000000	0.5521	0.6975	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP
0.0000004886	0.5492	0.7558	REACTOME_UNWINDING_OF_DNA
0.0000000001	0.5486	0.6412	REICHERT_MITOSIS_LIN9_TARGETS
0.0000000000	0.5462	0.6600	CROONQUIST_IL6_DEPRIVATION_DN
0.0000122625	0.5431	0.5971	REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION
0.0000000000	0.5393	0.6727	MORI_IMMATURE_B_LYMPHOCYTE_DN
0.0000005528	0.5372	0.5964	LI_WILMS_TUMOR_ANAPLASTIC_UP
