sampleID	D9.9_LE-SKI-TARGETS-DN	D6.1_LIANG-SILENCED-BY-METHYLATION-DN	D7.3_PATTERN-RECOGNITION-RECEPTOR-ACTIVITY	D10.5_GNF2-SERPINB5	D9.4_ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	D7.2_PHOTOTRANSDUCTION
TCGA-3G-AB0O-01A-22R-A42C-07	0	4.009241e+00	1.356997e+00	1.383325e+00	9.259399e-01	0
TCGA-3G-AB0Q-01A-11R-A42C-07	4.260233e-01	1.770920e+00	9.943052e-01	0	1.122251e+00	3.678194e+00
TCGA-3G-AB0T-01A-11R-A42C-07	0	3.449158e+00	2.025270e+00	2.194786e+00	1.296300e+00	9.457497e-02
TCGA-3G-AB14-01A-11R-A42C-07	7.351876e-02	2.575353e+00	1.192991e+00	2.430095e+00	6.983689e-01	6.418637e-01
TCGA-3G-AB19-01A-21R-A42C-07	0	1.320431e+00	1.578438e+00	0	1.071592e+00	2.791842e+00
TCGA-3Q-A9WF-01A-11R-A42C-07	1.500559e-02	3.538786e+00	1.997274e+00	8.580056e-01	1.296033e+00	3.294008e-01
TCGA-3S-A8YW-01A-11R-A42C-07	0	0	6.168794e+00	2.632595e-01	6.524804e+00	0
TCGA-3S-AAYX-01A-11R-A42C-07	0	4.124633e+00	1.433110e+00	4.736340e-01	1.245455e+00	3.041142e-01
TCGA-3T-AA9L-01A-11R-A42C-07	2.762463e-02	3.871835e+00	1.563755e+00	8.522316e-01	1.139757e+00	9.109188e-01
TCGA-4V-A9QI-01A-11R-A42C-07	0	3.792276e+00	1.221663e+00	2.253260e+00	1.059938e+00	0
TCGA-4V-A9QJ-01A-11R-A42C-07	1.257121e-01	3.001644e+00	2.346540e+00	3.080775e-01	1.740692e+00	8.496040e-01
TCGA-4V-A9QL-01A-11R-A42C-07	2.542084e-01	2.825180e+00	1.156164e+00	1.591510e-01	1.219259e+00	3.325985e+00
TCGA-4V-A9QM-01A-11R-A42C-07	5.498230e-01	2.850368e+00	7.118688e-01	0	1.045480e+00	2.957249e+00
TCGA-4V-A9QN-01A-11R-A42C-07	0	7.568049e-01	2.997357e+00	2.919645e+00	3.106648e+00	3.551626e-01
TCGA-4V-A9QR-01A-11R-A42C-07	0	2.702981e+00	1.776811e+00	3.160768e+00	1.339298e+00	1.297363e-01
TCGA-4V-A9QS-01A-11R-A42C-07	1.323279e-01	3.180748e+00	1.564144e+00	2.247612e+00	1.282047e+00	1.168724e-01
TCGA-4V-A9QT-01A-11R-A42C-07	0	4.388606e+00	1.394163e+00	1.572179e-02	1.282428e+00	6.858921e-01
TCGA-4V-A9QU-01A-11R-A42C-07	3.360892e-01	3.716928e+00	5.892114e-01	3.263308e-01	1.506987e+00	3.056694e+00
TCGA-4V-A9QW-01A-11R-A42C-07	1.514949e-01	3.787983e+00	1.495148e+00	0	1.587609e+00	3.419801e+00
TCGA-4V-A9QX-01A-11R-A42C-07	2.403466e-01	3.695469e+00	6.241364e-01	0	1.406144e+00	2.990117e+00
TCGA-4X-A9F9-01A-11R-A42C-07	0	3.781337e+00	2.190481e+00	1.690502e+00	1.695750e+00	4.928305e-01
TCGA-4X-A9FA-01A-11R-A42C-07	2.894000e-01	1.981613e+00	1.081571e+00	0	9.298964e-01	3.500622e+00
TCGA-4X-A9FB-01A-11R-A42C-07	0	3.387491e+00	1.853272e+00	1.279787e+00	1.172009e+00	0
TCGA-4X-A9FC-01A-11R-A42C-07	2.394514e-01	3.679499e+00	7.141867e-01	3.802484e-03	1.321184e+00	2.858324e+00
TCGA-4X-A9FD-01A-11R-A42C-07	0	2.495290e+00	1.268645e+00	3.426299e+00	1.061424e+00	0
TCGA-5G-A9ZZ-01A-31R-A42C-07	0	5.020005e-01	4.927018e+00	6.866940e-01	4.525316e+00	0
TCGA-5K-AAAP-01A-11R-A42C-07	1.594375e-01	2.824721e+00	9.987682e-01	2.755320e-01	1.084412e+00	3.280021e+00
TCGA-5U-AB0D-01A-11R-A42C-07	2.452005e-02	6.703363e-01	6.604286e+00	0	6.464127e+00	1.123172e+00
TCGA-5U-AB0E-01A-11R-A42C-07	0	2.769170e+00	1.958757e+00	2.861512e+00	1.299090e+00	2.894125e-01
TCGA-5U-AB0F-01A-11R-A42C-07	0	3.189767e+00	2.084500e+00	4.243356e-01	1.654824e+00	3.103545e+00
TCGA-5V-A9RR-01A-11R-A42C-07	2.543730e-01	2.817701e+00	9.786506e-01	5.217363e-01	1.255413e+00	3.646559e+00
TCGA-X7-A8D6-11A-22R-A42C-07	2.834716e-01	2.407457e+00	2.082933e+00	1.217660e+00	1.308569e+00	6.087101e-01
TCGA-X7-A8D6-01A-11R-A42C-07	2.786913e-01	3.909902e+00	5.750674e-01	0	1.124799e+00	2.212396e+00
TCGA-X7-A8D7-11A-11R-A42C-07	5.227788e-02	3.671951e+00	1.890041e+00	9.648426e-01	1.252717e+00	1.915574e-01
TCGA-X7-A8D7-01A-11R-A42C-07	0	3.721788e+00	1.750144e+00	1.430807e+00	1.392139e+00	0
TCGA-X7-A8D8-01A-11R-A42C-07	3.800842e-01	2.469271e+00	6.062028e-01	0	7.780669e-01	3.195533e+00
TCGA-X7-A8D9-01A-11R-A42C-07	4.113736e-01	2.860518e+00	1.070544e+00	2.627471e-01	1.670070e+00	2.965856e+00
TCGA-X7-A8DB-01A-11R-A42C-07	0	4.135942e+00	1.757800e+00	1.133318e+00	1.598729e+00	0
TCGA-X7-A8DD-01A-11R-A42C-07	1.693641e-01	3.762776e+00	1.648356e+00	0	2.103961e+00	3.133991e+00
