pValue	topAUC	KSstat	GSname
0.0000545143	0.4617	0.6208	MIPS_UTX_MLL2_3_COMPLEX
0.0080133215	0.3701	0.4987	MIPS_PTIP_HMT_COMPLEX
0.0000001378	0.3629	0.7102	FINETTI_BREAST_CANCERS_KINOME_GRAY
0.0012995813	0.3612	0.5710	MIPS_RSMAD_COMPLEX
0.0011909817	0.3536	0.5498	MIPS_ING5_COMPLEX
0.0000000002	0.3454	0.5500	BURTON_ADIPOGENESIS_12
0.0001369698	0.3412	0.5223	MIPS_SNF2H_COHESIN_NURD_COMPLEX
0.0001443074	0.3262	0.5210	HISTONE_ACETYLTRANSFERASE_ACTIVITY
0.0066731484	0.2954	0.4654	DISTECHE_ESCAPED_FROM_X_INACTIVATION
0.0000000574	0.2937	0.6081	NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON
0.0039588310	0.2917	0.4013	CTACTAG,MIR-325
0.0000000000	0.2910	0.6470	GCM_MAX
0.0000000000	0.2822	0.5905	GCM_HBP1
0.0000728931	0.2794	0.4972	KANG_DOXORUBICIN_RESISTANCE_DN
0.0054062189	0.2785	0.4933	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP
0.0034516345	0.2754	0.4728	NLS_BEARING_SUBSTRATE_IMPORT_INTO_NUCLEUS
0.0000000000	0.2740	0.4842	MODULE_277
0.0000000000	0.2722	0.5232	GCM_ERBB2IP
0.0050582301	0.2719	0.4043	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM
0.0000300281	0.2693	0.4467	GCM_PPM1D
0.0000000104	0.2684	0.5170	GCM_RAP2A
0.0002407408	0.2668	0.5229	MIPS_DA_COMPLEX
0.0000000000	0.2665	0.4541	DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER
0.0077277937	0.2636	0.5003	CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_UP
0.0065907357	0.2627	0.5071	REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS
0.0007526208	0.2602	0.5240	MIPS_RNA_POLYMERASE_II_COMPLEX_CHROMATIN_STRUCTURE_MODIFYING_2
0.0109522098	0.2504	0.4848	MIPS_HDAC1_ASSOCIATED_CORE_COMPLEX_CII
0.0000000000	0.2499	0.6489	GCM_CSNK1A1
0.0084527983	0.2485	0.3496	N_ACETYLTRANSFERASE_ACTIVITY
0.0002944888	0.2480	0.5729	MIPS_TFIID_BETA_COMPLEX
0.0007986052	0.2468	0.4741	REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE
0.0148413439	0.2421	0.4504	MIPS_SWI_SNF_CHROMATIN_REMODELING_RELATED_BRCA1_COMPLEX
0.0000000000	0.2377	0.5103	MORF_REV3L
0.0000000000	0.2374	0.3167	GABRIELY_MIR21_TARGETS
0.0025331634	0.2358	0.3420	NICK_RESPONSE_TO_PROC_TREATMENT_DN
0.0047094642	0.2334	0.3957	BIOCARTA_PTEN_PATHWAY
0.0003267505	0.2330	0.5145	BIOCARTA_RARRXR_PATHWAY
0.0000000000	0.2296	0.5118	SHEN_SMARCA2_TARGETS_UP
0.0055853710	0.2290	0.4724	ANDROGEN_RECEPTOR_SIGNALING_PATHWAY
0.0002944888	0.2275	0.5729	MIPS_TFIID_COMPLEX_B_CELL_SPECIFIC
0.0006363820	0.2269	0.5114	MIPS_BRG1_SIN3A_COMPLEX
0.0036975354	0.2264	0.5310	MIPS_MRNA_DECAY_COMPLEX
0.0000000000	0.2261	0.5050	GCM_ZNF198
0.0000012603	0.2260	0.4379	KEGG_BASAL_TRANSCRIPTION_FACTORS
0.0001861093	0.2237	0.5865	BIOCARTA_VDR_PATHWAY
0.0029027111	0.2233	0.4971	MIPS_ING2_COMPLEX
0.0000160228	0.2226	0.2849	GTATGAT,MIR-154,MIR-487
0.0053004452	0.2215	0.4745	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN
0.0231146040	0.2215	0.2963	HISTONE_MODIFICATION
0.0148457101	0.2211	0.3391	STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY
