sampleID	D7.6_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.3_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D15.14_CORNIFIED-ENVELOPE	D12.9_WEBER-METHYLATED-ICP-IN-SPERM-UP	D12.4_GNF2-GLTSCR2	D14.13_ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	D11.10_SCHLESINGER-METHYLATED-IN-COLON-CANCER	D15.12_chryq11	D12.1_MIPS-UTX-MLL2-3-COMPLEX	D12.2_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-2E-A9G8-01A-11R-A40A-07	8.026333e-01	1.090771e+00	3.022396e-01	1.347093e-01	2.072321e+00	1.400970e+00	0	0	0	2.860661e+00	1.978999e+00
TCGA-4E-A92E-01A-11R-A37O-07	8.704218e-01	1.579049e+00	1.415769e+00	4.612481e-01	8.982460e-02	2.658410e-01	1.464862e-01	9.474817e-01	0	3.469882e+00	3.759809e-01
TCGA-5B-A90C-01A-11R-A37O-07	0	9.263808e-01	7.634130e-01	0	6.128072e-01	5.356347e-01	1.130394e-01	2.377416e-01	3.516321e-01	3.434722e+00	1.715575e+00
TCGA-5S-A9Q8-01A-11R-A40A-07	9.225527e-01	1.084756e+00	1.438712e+00	1.194809e+00	0	7.643477e-01	3.270066e-01	1.308191e+00	1.061545e-01	1.981431e+00	1.288183e+00
TCGA-A5-A1OH-01A-21R-A22K-07	0	6.035281e-01	2.515273e+00	2.540692e-01	1.507304e+00	2.006891e-01	0	2.545965e-01	3.184100e-02	1.996250e+00	1.893250e+00
TCGA-A5-A2K2-01A-11R-A18M-07	0	3.492302e-01	1.307797e-01	0	0	1.995856e+00	0	0	2.535067e+00	3.847004e+00	1.610650e+00
TCGA-A5-A2K3-01A-11R-A32Y-07	0	2.359870e+00	9.304431e-01	0	0	2.443260e+00	0	0	1.402087e+00	1.623762e+00	1.882942e+00
TCGA-A5-A2K4-01A-11R-A18M-07	0	8.869564e-01	1.176985e+00	1.554885e-01	4.215923e-01	1.506751e+00	0	0	2.029969e+00	3.513702e+00	1.018490e+00
TCGA-A5-A2K5-01A-11R-A180-07	9.450269e-01	1.250366e+00	8.839127e-01	1.629871e-01	2.986496e-01	1.121450e+00	4.351456e-01	8.490269e-01	0	7.396399e-01	2.637963e+00
TCGA-A5-A2K7-01A-11R-A180-07	0	8.071014e-01	9.537458e-01	0	0	1.631882e+00	2.090942e-01	6.628616e-03	4.872674e-02	3.096617e+00	1.994059e+00
TCGA-A5-A3LO-01A-11R-A22K-07	1.322117e-01	1.069097e+00	1.086777e+00	6.928199e-01	0	7.282421e-01	1.790592e-01	0	0	2.932383e+00	2.511276e+00
TCGA-A5-A3LP-01A-11R-A22K-07	0	7.547702e-01	9.430007e-01	0	2.283055e-01	1.366227e+00	0	0	9.450696e-01	3.871333e+00	1.038795e+00
TCGA-A5-A7WJ-01A-12R-A34R-07	2.269465e-01	6.629695e-01	2.956023e-01	1.316516e-01	0	3.697975e-01	1.185972e+00	2.851290e-01	1.676695e-01	2.734620e+00	3.038055e+00
TCGA-A5-A7WK-01A-11R-A34R-07	4.384614e-02	5.424232e-01	9.563982e-01	0	8.867530e-01	1.215597e+00	0	3.191743e-01	1.287644e-01	4.134505e+00	7.200720e-01
