pValue	topAUC	KSstat	GSname
0.0000000000	0.9095	0.9453	BIOCARTA_CTL_PATHWAY
0.0000000000	0.8848	0.9571	REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE
0.0000000002	0.8438	0.9358	BIOCARTA_THELPER_PATHWAY
0.0000000002	0.8433	0.9358	BIOCARTA_TCYTOTOXIC_PATHWAY
0.0000000027	0.8341	0.8766	CHAN_INTERFERON_PRODUCING_DENDRITIC_CELL
0.0000000347	0.8187	0.9358	BIOCARTA_TCAPOPTOSIS_PATHWAY
0.0000000000	0.7977	0.9595	BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX
0.0000000110	0.7974	0.8808	BIOCARTA_BLYMPHOCYTE_PATHWAY
0.0000000000	0.7910	0.8395	REACTOME_PD1_SIGNALING
0.0000000207	0.7829	0.8662	BIOCARTA_TCRA_PATHWAY
0.0000009781	0.7817	0.8374	REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY
0.0000000000	0.7766	0.9180	BOWIE_RESPONSE_TO_TAMOXIFEN
0.0000000005	0.7730	0.8238	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
0.0000000000	0.7651	0.8352	FARMER_BREAST_CANCER_CLUSTER_1
0.0000000000	0.7614	0.8983	UROSEVIC_RESPONSE_TO_IMIQUIMOD
0.0000001098	0.7346	0.8259	MODULE_293
0.0000000034	0.7315	0.8399	MODULE_143
0.0000758601	0.6987	0.7285	ROETH_TERT_TARGETS_DN
0.0000000000	0.6910	0.8256	KEGG_GRAFT_VERSUS_HOST_DISEASE
0.0000000000	0.6906	0.8493	MOSERLE_IFNA_RESPONSE
0.0000000000	0.6861	0.8310	ZHANG_INTERFERON_RESPONSE
0.0000000000	0.6802	0.7936	GNF2_TNFSF10
0.0000000000	0.6797	0.7774	KIM_LRRC3B_TARGETS
0.0000000000	0.6796	0.7631	NIELSEN_SYNOVIAL_SARCOMA_DN
0.0000000000	0.6633	0.7353	KEGG_ALLOGRAFT_REJECTION
0.0000000266	0.6503	0.8263	BIOCARTA_ASBCELL_PATHWAY
0.0000000000	0.6441	0.7215	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP
0.0000000000	0.6429	0.7992	GNF2_S100A4
0.0000000000	0.6414	0.7613	BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
0.0000000000	0.6382	0.6829	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES
0.0000000000	0.6353	0.7332	BROWNE_INTERFERON_RESPONSIVE_GENES
0.0000000000	0.6308	0.7121	GAURNIER_PSMD4_TARGETS
0.0000002495	0.6244	0.6970	BIOCARTA_GRANULOCYTES_PATHWAY
0.0000000992	0.6227	0.6763	BIOCARTA_NO2IL12_PATHWAY
0.0000000000	0.6143	0.7710	GNF2_FGR
0.0000000000	0.6141	0.7200	WILENSKY_RESPONSE_TO_DARAPLADIB
0.0000000000	0.6131	0.7662	GNF2_TNFRSF1B
0.0000000000	0.6131	0.6794	WIELAND_UP_BY_HBV_INFECTION
0.0000000000	0.6097	0.6710	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL
0.0000048445	0.6092	0.6576	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT
0.0000000000	0.6090	0.6904	KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS
0.0000000000	0.6074	0.6966	SANA_RESPONSE_TO_IFNG_UP
0.0000000002	0.6033	0.6482	GNF2_ZAP70
0.0000000000	0.6007	0.7342	GNF2_CD48
0.0000000000	0.5983	0.7273	GNF2_CD1D
0.0000000000	0.5939	0.7527	GNF2_VAV1
0.0000001735	0.5907	0.7037	GRANDVAUX_IFN_RESPONSE_NOT_VIA_IRF3
0.0000000897	0.5799	0.6436	BIOCARTA_CTLA4_PATHWAY
0.0000000000	0.5793	0.7287	GNF2_ITGB2
0.0000000214	0.5785	0.6542	NIELSEN_GIST_AND_SYNOVIAL_SARCOMA_DN
