sampleID	D7.5_DELASERNA-TARGETS-OF-MYOD-AND-SMARCA4	D10.6_BIOCARTA-CTL-PATHWAY	D5.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.7_NEUROTRANSMITTER-SECRETION	D11.10_AIGNER-ZEB1-TARGETS	D9.6_BIOCARTA-EXTRINSIC-PATHWAY	D13.11_JI-CARCINOGENESIS-BY-KRAS-AND-STK11-UP	D10.2_PID-VEGF-VEGFR-PATHWAY	D14.1_CELLULAR-RESPIRATION
TCGA-N5-A4R8-01A-11R-A28V-07	2.282461e+00	0	5.948663e+00	9.682104e-01	0	5.198616e-01	0	1.199610e+00	2.439767e+00
TCGA-N5-A4RA-01A-11R-A28V-07	2.666169e+00	8.748966e-01	6.206051e+00	5.982346e-01	1.995869e-01	9.594132e-04	2.949160e-01	1.503376e-01	2.099421e+00
TCGA-N5-A4RD-01A-11R-A28V-07	1.612264e+00	5.529510e-01	6.096339e+00	5.352216e-01	3.391085e-01	6.894997e-01	2.985545e-01	7.705496e-01	1.309343e+00
TCGA-N5-A4RF-01A-11R-A28V-07	1.321876e-01	1.520105e+00	6.490481e+00	1.353049e+00	6.005074e-01	1.408731e-01	3.036461e-01	1.463462e+00	1.926758e+00
TCGA-N5-A4RJ-01A-11R-A28V-07	6.651728e-01	1.159780e+00	6.088025e+00	2.663876e-02	2.394918e-02	2.637503e+00	2.796187e-01	1.803161e+00	1.476916e+00
TCGA-N5-A4RM-01A-11R-A28V-07	8.078559e-02	5.181656e-01	6.797149e+00	2.687230e+00	8.286187e-02	0	4.385853e-01	9.376598e-01	2.008055e+00
TCGA-N5-A4RN-01A-12R-A28V-07	3.274142e-01	7.065492e-02	6.037629e+00	1.268194e+00	4.813217e-01	1.216992e+00	0	2.322431e+00	1.877531e+00
TCGA-N5-A4RO-01A-11R-A28V-07	1.239165e+00	0	6.032043e+00	1.053413e+00	3.381988e-02	0	0	5.618952e-01	2.028385e+00
TCGA-N5-A4RS-01A-11R-A28V-07	2.278906e-01	4.751076e-01	5.974778e+00	1.174158e+00	3.396858e-01	1.206272e+00	3.930666e-01	4.104889e-01	1.354074e+00
TCGA-N5-A4RT-01A-11R-A28V-07	9.415290e-02	3.711786e-01	6.015421e+00	1.105006e+00	3.383219e-01	4.698340e-01	9.927799e-01	1.657050e+00	1.503615e+00
TCGA-N5-A4RU-01A-31R-A28V-07	9.487672e-02	8.542492e-01	5.792848e+00	2.191929e+00	4.883055e-01	2.534691e-01	0	2.173061e+00	2.664794e+00
TCGA-N5-A4RV-01A-21R-A28V-07	1.221774e-01	1.002676e+00	6.820554e+00	2.772660e+00	3.149357e-02	0	0	3.698230e-01	2.533344e+00
TCGA-N5-A59E-01A-11R-A28V-07	8.231377e-01	4.747766e-01	5.789626e+00	1.428364e+00	7.501854e-02	1.801622e+00	7.376001e-01	1.326080e+00	1.698780e+00
TCGA-N5-A59F-01A-11R-A28V-07	2.382605e-01	9.250612e-01	6.232746e+00	6.559429e-02	2.581727e-01	2.432125e+00	0	1.937235e+00	1.607461e+00
TCGA-N6-A4V9-01A-11R-A28V-07	0	1.300287e+00	5.672069e+00	1.420126e+00	6.080532e-01	0	2.186129e+00	3.844819e-01	2.411832e+00
TCGA-N6-A4VC-01A-11R-A28V-07	8.951152e-02	8.413258e-01	6.002538e+00	1.426594e-01	1.300775e+00	4.528119e-02	1.933910e-01	3.473424e-01	2.430439e+00
TCGA-N6-A4VD-01A-11R-A28V-07	2.204245e-01	1.049190e+00	6.075080e+00	0	2.058776e+00	0	3.930404e-01	1.126481e+00	2.195283e+00
TCGA-N6-A4VE-01A-11R-A28V-07	1.440505e-01	9.861347e-01	5.736230e+00	6.438113e-01	4.922791e-01	1.056680e+00	1.325754e+00	1.158708e+00	1.715022e+00
TCGA-N6-A4VF-01A-31R-A28V-07	3.518482e-01	1.241224e+00	5.745829e+00	5.432187e-01	1.268503e+00	4.214007e-01	1.210391e-01	2.757750e+00	9.761169e-01
TCGA-N6-A4VG-01A-31R-A28V-07	0	7.092331e-01	5.936176e+00	0	1.880495e-01	1.583366e+00	0	2.265515e+00	1.843722e+00
TCGA-N7-A4Y0-01A-12R-A28V-07	0	7.657404e-01	7.939451e+00	0	0	0	2.370988e-01	1.399142e+00	6.940580e+00
TCGA-N7-A4Y5-01A-12R-A28V-07	3.048127e+00	1.666326e-01	5.936853e+00	2.047472e-01	4.776642e-02	1.026898e-01	0	1.362744e+00	2.075015e+00
TCGA-N7-A4Y8-01A-11R-A28V-07	9.358489e-01	0	7.527291e+00	9.844286e-01	0	1.153754e+00	0	3.059423e-01	2.237553e+00
TCGA-N7-A59B-01A-11R-A28V-07	6.192809e-02	1.171058e+00	6.975772e+00	0	2.487788e+00	0	0	7.591859e-01	2.316188e+00
TCGA-N8-A4PI-01A-21R-A28V-07	1.832108e-01	9.931469e-01	6.320809e+00	0	1.251907e+00	9.357125e-02	0	2.003093e+00	1.783220e+00
TCGA-N8-A4PL-01A-11R-A28V-07	5.196391e-02	3.833969e-01	6.117912e+00	1.309858e+00	0	1.040316e+00	4.141252e-02	1.431301e+00	1.872113e+00
TCGA-N8-A4PM-01A-11R-A28V-07	2.060546e-01	4.774631e-01	6.514212e+00	7.464659e-02	7.234248e-01	2.305223e+00	0	2.161628e+00	1.879460e+00
TCGA-N8-A4PN-01A-11R-A28V-07	2.407857e+00	4.575208e-01	5.398654e+00	2.473395e-01	0	8.761123e-01	0	1.740810e+00	8.970591e-01
TCGA-N8-A4PO-01A-11R-A28V-07	1.845770e-01	3.542727e-01	5.686628e+00	6.687276e-01	8.501896e-01	1.040287e+00	5.586693e-02	2.674705e+00	1.022969e+00
TCGA-N8-A4PP-01A-11R-A28V-07	1.061976e+00	1.764212e+00	5.996452e+00	3.661197e-01	5.193731e-01	0	0	4.475384e-01	2.108254e+00
TCGA-N8-A4PQ-01A-11R-A28V-07	1.711799e+00	1.313898e+00	5.340212e+00	7.878354e-01	2.802058e-01	1.229510e+00	3.182430e-01	1.873396e+00	1.097455e+00
TCGA-N8-A56S-01A-11R-A28V-07	1.321969e+00	9.089197e-01	5.570233e+00	0	0	1.829202e+00	2.307336e-01	1.608128e+00	1.553720e+00
TCGA-N9-A4PZ-01A-22R-A28V-07	5.327374e-02	6.677307e-01	5.861701e+00	1.218844e+00	9.599095e-01	3.448563e-01	1.095542e+00	1.467079e+00	1.662529e+00
TCGA-N9-A4Q1-01A-11R-A28V-07	2.517215e+00	9.587389e-01	5.963447e+00	7.730303e-01	8.373525e-03	3.905918e-01	0	8.071778e-01	1.830509e+00
TCGA-N9-A4Q3-01A-11R-A28V-07	3.172166e-01	9.859430e-01	6.075365e+00	8.558418e-01	2.775410e-01	1.043598e+00	1.829897e-01	4.788066e-01	1.951917e+00
TCGA-N9-A4Q4-01A-11R-A28V-07	2.450252e+00	7.670868e-01	5.923509e+00	1.933852e-01	0	1.071101e+00	5.275344e-01	7.151470e-01	2.004433e+00
TCGA-N9-A4Q7-01A-11R-A28V-07	2.618388e-02	2.988006e+00	7.396432e+00	0	0	0	0	2.143455e-01	2.165793e+00
TCGA-N9-A4Q8-01A-31R-A28V-07	0	6.395738e-01	6.421440e+00	1.140648e-01	1.750408e+00	0	6.338983e-02	6.757225e-01	3.191709e+00
TCGA-NA-A4QV-01A-11R-A28V-07	1.222018e-01	5.795031e-01	5.457633e+00	1.163567e+00	5.149204e-01	1.435111e+00	8.923613e-01	2.389252e+00	9.585245e-01
TCGA-NA-A4QW-01A-11R-A28V-07	2.940528e+00	8.615855e-01	5.474469e+00	3.199747e-01	0	0	0	1.162754e+00	1.733666e+00
