pValue	topAUC	KSstat	GSname
0.0000000026	0.6702	0.8459	PHOTOTRANSDUCTION
0.0000010060	0.6680	0.7697	PHOTORECEPTOR_CELL_MAINTENANCE
0.0000157378	0.6641	0.7371	REACTOME_OPSINS
0.0000000000	0.6628	0.8587	PID_CONE_PATHWAY
0.0000000000	0.6222	0.7795	PID_RHODOPSIN_PATHWAY
0.0000000216	0.6097	0.9038	METABOTROPIC_GLUTAMATEGABA_B_LIKE_RECEPTOR_ACTIVITY
0.0000000003	0.5773	0.7448	DETECTION_OF_ABIOTIC_STIMULUS
0.0000000000	0.5677	0.8038	GLUTAMATE_RECEPTOR_ACTIVITY
0.0000000002	0.5478	0.6603	GNF2_AF1Q
0.0000077043	0.5258	0.7235	IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY
0.0000003503	0.5232	0.7362	REACTOME_GABA_A_RECEPTOR_ACTIVATION
0.0000000000	0.5144	0.7227	GNF2_TM4SF2
0.0000000359	0.4894	0.7386	REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION
0.0000077874	0.4658	0.6073	MODULE_563
0.0000000163	0.4619	0.6438	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT
0.0000018301	0.4559	0.6037	GLUTAMATE_SIGNALING_PATHWAY
0.0000013631	0.4550	0.5315	DETECTION_OF_EXTERNAL_STIMULUS
0.0000026568	0.4534	0.5418	DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION
0.0000000000	0.4415	0.6657	GNF2_MAPT
0.0005017728	0.4384	0.4738	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION
0.0000000000	0.4344	0.6174	GNF2_RAB3A
0.0000000000	0.4342	0.5958	GNF2_DNM1
0.0000870595	0.4303	0.6320	NICOTINIC_ACETYLCHOLINE_GATED_RECEPTOR_CHANNEL_COMPLEX
0.0000870595	0.4303	0.6320	NICOTINIC_ACETYLCHOLINE_ACTIVATED_CATION_SELECTIVE_CHANNEL_ACTIVITY
0.0000136607	0.4169	0.6812	GABA_RECEPTOR_ACTIVITY
0.0000181287	0.4080	0.5881	MODULE_445
0.0000000000	0.4062	0.5029	GNF2_RTN1
0.0001564394	0.4010	0.5916	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS
0.0001544313	0.4010	0.5919	REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS
0.0031512427	0.3988	0.5144	VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY
0.0002654134	0.3944	0.5760	MODULE_396
0.0010420644	0.3898	0.4806	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE
0.0000002287	0.3896	0.5028	RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN
0.0000000345	0.3845	0.7394	VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX
0.0000012906	0.3771	0.6452	MODULE_215
0.0000000000	0.3769	0.4638	V$NRSF_01
0.0000258675	0.3766	0.4968	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS
0.0000000446	0.3763	0.4969	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE
0.0000000003	0.3760	0.7616	VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY
0.0001876632	0.3753	0.5467	REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS
0.0000012357	0.3738	0.4951	MODULE_214
0.0000000000	0.3669	0.4855	MODULE_287
0.0000000000	0.3629	0.5109	MODULE_274
0.0000000000	0.3570	0.5117	LEE_TARGETS_OF_PTCH1_AND_SUFU_UP
0.0020806460	0.3554	0.4739	MODULE_328
0.0042915697	0.3547	0.5250	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE
0.0000000000	0.3514	0.4401	KRAS.KIDNEY_UP.V1_UP
0.0000000000	0.3468	0.4581	CAHOY_NEURONAL
0.0001425532	0.3460	0.4593	EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY
0.0000000000	0.3447	0.4379	LEIN_NEURON_MARKERS
