sampleID	D9.9_PHOTOTRANSDUCTION	D9.7_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.5_ACTIN-FILAMENT-BASED-MOVEMENT	D11.2_GNF2-GLTSCR2	D8.3_GCM-MAX	D9.6_chr6p	D9.2_REACTOME-BETA-DEFENSINS
TCGA-RZ-AB0B-01A-11R-A405-07	3.350064e-01	4.891230e-01	5.617521e-01	1.392784e+00	2.072388e+00	1.244225e-02	4.391644e+00
TCGA-V3-A9ZX-01A-11R-A405-07	5.925495e-01	8.944020e-01	5.002768e-01	9.969187e-01	8.597886e-01	3.480208e-01	4.480892e+00
TCGA-V3-A9ZY-01A-11R-A405-07	9.088543e-03	2.936177e-01	1.600909e+00	4.364506e+00	2.019871e+00	1.506578e-01	0
TCGA-V4-A9E5-01A-11R-A405-07	4.004951e-02	1.890659e-01	2.675154e+00	1.279914e+00	4.841966e-01	1.947878e+00	3.519424e-03
TCGA-V4-A9E7-01A-11R-A405-07	0	0	2.111338e-01	1.831838e+00	1.607712e+00	1.178855e-01	4.569945e+00
TCGA-V4-A9E8-01A-11R-A405-07	0	9.615233e-01	0	4.996989e-01	0	6.727508e-01	3.325348e+00
TCGA-V4-A9E9-01A-11R-A405-07	0	0	2.169600e+00	3.772018e+00	8.010151e-01	6.443980e-01	1.036066e+00
TCGA-V4-A9EA-01A-11R-A405-07	0	9.708685e-02	2.766307e+00	3.567605e+00	2.528030e-01	1.018894e+00	0
TCGA-V4-A9EC-01A-11R-A405-07	0	8.988993e-02	2.251648e+00	3.548649e+00	1.927583e+00	9.339934e-01	9.821831e-02
TCGA-V4-A9ED-01A-11R-A405-07	2.675306e-02	5.205737e-01	2.018576e-01	2.892601e+00	1.389346e+00	0	2.173026e+00
TCGA-V4-A9EE-01A-11R-A405-07	1.304445e-01	7.236532e-01	1.218935e+00	4.272347e-01	2.264444e+00	0	4.182147e+00
TCGA-V4-A9EF-01A-21R-A405-07	0	1.442469e-01	6.617253e-01	2.418917e+00	1.743953e+00	0	3.470330e+00
TCGA-V4-A9EH-01A-11R-A405-07	1.602053e-01	8.589809e-01	6.284136e-01	4.649541e+00	2.051094e+00	3.848126e-01	6.414636e-01
TCGA-V4-A9EI-01A-11R-A405-07	1.150396e-01	7.522555e-01	8.696971e-01	2.486623e-02	1.318191e+00	1.622411e-01	5.452548e+00
TCGA-V4-A9EJ-01A-11R-A405-07	1.893632e-01	3.097201e-01	2.667850e+00	1.763776e+00	1.194944e+00	1.211796e+00	6.787202e-01
TCGA-V4-A9EK-01A-11R-A405-07	0	1.071100e+00	1.662567e-01	1.563879e+00	1.946329e+00	2.445143e+00	3.202043e-01
TCGA-V4-A9EL-01A-11R-A405-07	0	1.416929e+00	6.779572e-02	7.678322e-01	1.299106e+00	2.032050e-01	5.272028e+00
TCGA-V4-A9EM-01A-11R-A405-07	4.444200e-01	3.624851e-01	2.128277e+00	3.459735e+00	1.310561e+00	6.049271e-01	9.490631e-01
TCGA-V4-A9EO-01A-12R-A405-07	0	0	7.980261e-01	0	2.191154e+00	3.525352e-01	2.902607e+00
TCGA-V4-A9EQ-01A-11R-A405-07	0	2.456323e-01	3.437397e-01	2.319208e+00	1.060871e+00	0	3.780418e+00
TCGA-V4-A9ES-01A-11R-A405-07	0	0	1.138399e+00	1.993960e+00	2.791569e+00	3.292527e-01	2.712795e+00
TCGA-V4-A9ET-01A-11R-A405-07	0	3.177363e-02	8.103394e-01	3.059063e+00	4.051311e-01	2.134135e+00	4.732234e-01
TCGA-V4-A9EU-01A-11R-A405-07	3.393233e-01	7.421118e-01	5.784192e-01	4.912729e-01	1.881446e+00	1.422515e-02	4.753218e+00
TCGA-V4-A9EV-01A-11R-A405-07	0	1.500533e+00	3.844733e-01	1.049935e+00	1.838496e+00	1.197217e-01	4.154723e+00
TCGA-V4-A9EW-01A-11R-A405-07	9.587643e-02	1.323610e-01	2.621469e+00	1.823945e+00	2.202150e+00	1.476332e+00	6.247682e-01
TCGA-V4-A9EX-01A-11R-A405-07	2.146000e-01	6.019446e-01	8.056684e-01	0	1.551568e+00	8.376275e-02	5.265691e+00
TCGA-V4-A9EY-01A-11R-A405-07	1.492670e-01	3.838112e-01	1.886538e+00	3.273366e+00	7.671169e-01	6.464645e-02	2.952496e-02
TCGA-V4-A9EZ-01A-11R-A405-07	0	4.833609e-01	1.746706e+00	1.719839e+00	1.906107e-01	2.404399e+00	5.557624e-01
TCGA-V4-A9F0-01A-11R-A405-07	1.378615e-01	5.900636e-01	0	2.381908e+00	1.728412e+00	1.217401e-01	3.125417e+00
TCGA-V4-A9F1-01A-11R-A405-07	1.171726e-01	7.019477e-01	6.194175e-01	6.234073e-01	1.886656e+00	0	4.218888e+00
TCGA-V4-A9F2-01A-11R-A405-07	0	7.939709e-01	3.872416e-01	4.005868e+00	1.557219e+00	1.540636e+00	8.489401e-02
TCGA-V4-A9F3-01A-11R-A405-07	3.279436e-01	1.106974e+00	3.813051e-01	1.918288e-01	1.430832e+00	5.236752e-01	4.198399e+00
TCGA-V4-A9F4-01A-11R-A405-07	0	2.993369e-01	9.654988e-01	1.855461e+00	1.659282e+00	2.316701e+00	4.715719e-01
TCGA-V4-A9F5-01A-11R-A405-07	0	2.060563e-01	1.679920e-01	1.656077e+00	1.349125e+00	2.119463e-01	4.602497e+00
TCGA-V4-A9F7-01A-11R-A405-07	5.384115e-02	1.751254e-01	1.973166e+00	2.631668e+00	3.237501e+00	5.111779e-01	0
TCGA-V4-A9F8-01A-11R-A405-07	1.160844e-02	2.764591e-02	8.678120e-01	8.702779e-01	8.549250e-01	2.535038e-01	3.169740e+00
TCGA-VD-A8K7-01B-11R-A405-07	0	0	2.135653e+00	3.527887e+00	3.496544e+00	7.127625e-01	1.889196e-01
TCGA-VD-A8K8-01A-11R-A405-07	0	1.123234e+00	8.103477e-01	1.312974e+00	1.932249e+00	0	4.110017e+00
TCGA-VD-A8K9-01A-11R-A405-07	0	4.486994e-01	2.803283e+00	3.977364e-01	1.636710e+00	1.879937e+00	1.268821e+00
TCGA-VD-A8KA-01B-11R-A405-07	0	1.112698e-02	1.797852e+00	2.441253e+00	1.666785e+00	1.718615e+00	9.068660e-01
TCGA-VD-A8KB-01A-11R-A405-07	0	0	1.609992e+00	2.332353e+00	1.285507e+00	2.202629e+00	4.580968e-01
TCGA-VD-A8KD-01A-11R-A405-07	0	1.321875e+00	3.536495e-01	2.185023e+00	2.206828e+00	0	3.356413e+00
TCGA-VD-A8KE-01A-11R-A405-07	1.669538e-04	3.150834e-01	1.761387e+00	2.526884e+00	2.344678e+00	1.117301e-02	3.341092e-01
TCGA-VD-A8KF-01A-11R-A405-07	0	4.380779e-01	1.875839e-01	2.745156e+00	3.003028e+00	0	3.073819e+00
TCGA-VD-A8KG-01A-11R-A405-07	0	6.584976e-01	1.994248e+00	0	5.243999e-01	1.428121e+00	9.620150e-01
TCGA-VD-A8KH-01A-11R-A405-07	2.977698e-01	8.948121e-03	2.792056e+00	3.071194e+00	2.773938e+00	0	1.803717e+00
TCGA-VD-A8KI-01A-11R-A405-07	0	5.148156e-01	7.786956e-01	5.943887e-01	2.814128e-01	4.842998e-02	4.450778e+00
TCGA-VD-A8KJ-01A-11R-A405-07	2.120529e-01	1.339263e-01	1.469351e+00	2.296261e+00	1.930913e+00	1.150852e+00	1.597098e+00
