D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
STAD_99395	TGCT_63165	CHOL_5990	ESCA_77924	TGCT_46060	TGCT_27755	PRAD_102750	SKCM_52894	LIHC_63510	LUAD_39194	CHOL_32222	ESCA_82497	LGG_4937	BRCA_145462	BLCA_77552	PCPG_40811	CESC_22662	COAD_79789	BRCA_71610	THCA_68517	LUSC_29149	CESC_19585	BLCA_93020	CESC_40526	CESC_52922
ESCA_105183	BRCA_180068	CHOL_4564	STAD_73695	TGCT_45774	STAD_47526	PRAD_72764	SKCM_45464	LIHC_8307	LUAD_69931	MESO_38496	STAD_77604	LGG_6307	BRCA_203179	BLCA_46145	PCPG_33808	KIRC_73829	COAD_110123	BRCA_71672	THCA_37067	LUSC_27595	TGCT_22675	TGCT_14367	ESCA_594	CESC_7247
STAD_99406	TGCT_62106	CESC_4111	ESCA_77594	GBM_49409	TGCT_30386	PRAD_44595	SKCM_88292	LIHC_61891	LUAD_100935	CHOL_33139	ESCA_55512	LGG_4918	BRCA_102634	BLCA_89475	PCPG_82760	KIRC_75119	COAD_84194	BRCA_21421	THCA_72712	CESC_15063	MESO_22703	GBM_14645	CESC_54686	CESC_10416
STAD_99404	TGCT_62988	CHOL_4632	STAD_73697	GBM_49511	TGCT_32262	PRAD_67540	SKCM_74045	LIHC_114809	LUAD_101693	STAD_55580	ESCA_55731	GBM_4606	BRCA_51002	BLCA_89559	PCPG_62032	KIRC_68273	STAD_39771	GBM_11679	THCA_5838	CESC_17214	CHOL_20905	GBM_14721	CESC_29194	CESC_27576
ESCA_105154	TGCT_62514	CHOL_3962	ESCA_77553	TGCT_47765	GBM_34974	PRAD_97842	SKCM_6796	LIHC_58450	LUAD_101423	CHOL_31789	ESCA_55749	LGG_24318	UCEC_27292	BLCA_89533	PCPG_80572	KIRP_110911	COAD_7856	SKCM_52112	THCA_12309	LUSC_27276	TGCT_21592	CESC_11197	PCPG_63551	CESC_11953
STAD_99405	MESO_67338	CHOL_6579	ESCA_77102	TGCT_47372	TGCT_29889	PRAD_14598	SKCM_77831	LIHC_62908	LUAD_101538	MESO_36398	ESCA_55680	LGG_4936	BRCA_102788	STAD_99912	PCPG_58256	KIRC_72225	COAD_3465	BRCA_104452	THCA_71676	LUSC_29391	CESC_17982	GBM_14776	CESC_54432	TGCT_27552
STAD_99356	BRCA_180089	CESC_5469	SKCM_64626	GBM_49112	TGCT_31596	PRAD_102853	SKCM_37226	LIHC_19870	LUAD_18425	SKCM_53102	ESCA_55639	LGG_71439	BRCA_167358	STAD_99929	PCPG_14054	ACC_71989	CESC_51763	BRCA_10315	THCA_43735	LUSC_29193	CESC_19189	CESC_12361	CESC_1053	CESC_11695
STAD_99340	TGCT_62122	CHOL_4343	SKCM_64421	TGCT_46973	STAD_47506	PRAD_102732	SKCM_17570	ACC_71540	LUAD_100800	MESO_37348	ESCA_55747	LGG_43704	BRCA_129512	BLCA_19277	PCPG_59252	KIRC_13266	CESC_53234	BRCA_18460	THCA_74565	LUSC_28482	MESO_24121	BLCA_93037	CESC_48345	CHOL_34116
STAD_99359	TGCT_61472	CESC_5183	SKCM_64586	TGCT_46950	TGCT_30549	PRAD_90789	SKCM_78435	LIHC_60856	LUAD_101814	CHOL_33006	ESCA_55500	LGG_62400	BRCA_55333	ACC_75849	PCPG_57782	KIRP_56188	COAD_106889	BRCA_192251	THCA_23722	CESC_15244	TGCT_22279	GBM_14827	CESC_53163	SKCM_21424
STAD_99324	BRCA_179869	CHOL_7025	ESCA_77911	TGCT_47347	HNSC_40763	PRAD_85966	SKCM_28837	LIHC_43319	LUAD_39050	MESO_36569	ESCA_55640	GBM_30216	BRCA_105465	STAD_99960	PCPG_76958	KIRC_38480	COAD_114145	UCEC_12778	THCA_45328	LUSC_30915	MESO_24549	BLCA_81254	CESC_28850	CESC_31807
STAD_99426	MESO_66499	CHOL_3200	ESCA_76992	GBM_49326	GBM_36198	PRAD_31399	SKCM_49861	LIHC_81891	LUAD_100952	MESO_38236	ESCA_82471	GBM_60427	BRCA_16336	CESC_40	PCPG_77950	CHOL_39713	COAD_103596	BRCA_97203	THCA_30332	CESC_15142	TGCT_21124	TGCT_13859	CESC_363	CESC_47653
ESCA_105225	TGCT_62002	CHOL_3902	STAD_73147	TGCT_46604	CESC_24727	PRAD_303	SKCM_3034	LIHC_6979	LUAD_101627	CHOL_32872	ESCA_55691	GBM_4563	UCEC_103223	CHOL_16568	PCPG_59370	KIRP_56254	COAD_7860	BLCA_96674	THCA_89557	CESC_7695	ACC_27989	GBM_14847	CESC_54619	ACC_19550
ESCA_105184	TGCT_61906	CHOL_7178	SKCM_65216	TGCT_46820	STAD_47455	PRAD_102759	SKCM_9476	LIHC_24056	LUAD_101452	CHOL_32652	ESCA_55697	LGG_34975	BRCA_44896	ESCA_105567	PCPG_49331	KIRC_27127	COAD_21295	KIRP_49123	THCA_51740	LUSC_27520	TGCT_23156	TGCT_14066	CESC_47686	CHOL_33465
ESCA_105105	TGCT_62156	CHOL_3918	ESCA_78068	GBM_49232	STAD_46627	PRAD_97700	SKCM_73594	MESO_27404	LUAD_45202	CHOL_31828	ESCA_55684	LGG_67694	BRCA_106802	STAD_99962	PCPG_36343	KIRP_115363	COAD_113347	BRCA_193933	THCA_57106	CESC_13960	TGCT_22555	SKCM_20901	CESC_54541	CHOL_19280
ESCA_105155	TGCT_62754	CHOL_7184	SKCM_64530	TGCT_46675	KIRP_61761	PRAD_28683	CHOL_2913	LIHC_8816	LUAD_100842	SKCM_49925	STAD_77826	GBM_4762	BRCA_16432	STAD_100496	PCPG_57798	KIRP_113157	COAD_85685	BRCA_192179	THCA_23293	CESC_26861	ACC_25022	GBM_14919	CESC_15605	CESC_53163
BRCA_175820	TGCT_62637	CHOL_6594	ESCA_77552	TGCT_47510	LGG_35375	PRAD_68051	SKCM_88013	CHOL_6749	LUAD_100897	BRCA_100753	ESCA_55746	GBM_4654	BRCA_66323	STAD_99905	MESO_68585	KIRC_35543	STAD_43690	BRCA_76397	THCA_39575	CESC_6240	CESC_18261	GBM_14682	CESC_15633	CESC_9895
LUSC_97504	TGCT_63239	CHOL_7158	HNSC_57943	TGCT_47577	TGCT_31778	PRAD_28658	SKCM_99722	LIHC_26210	LUAD_101395	LGG_39557	ESCA_55549	GBM_28734	BRCA_102814	BLCA_18740	PCPG_40810	KIRC_49361	COAD_1833	BRCA_13426	THCA_13129	CESC_13958	SKCM_35240	SKCM_19039	CESC_48390	UCEC_91490
BRCA_175819	CESC_47455	CHOL_4041	SKCM_64652	TGCT_45852	CESC_23229	PRAD_102867	SKCM_6851	LIHC_13396	LUAD_97017	CHOL_33079	STAD_77732	GBM_38159	BRCA_201704	STAD_104724	PCPG_72960	KIRC_76189	COAD_95450	BRCA_17768	THCA_13516	LUSC_29432	TGCT_22170	BLCA_81160	KIRC_42	CESC_47673
BRCA_175848	TGCT_63222	CHOL_3368	SKCM_64690	TGCT_46947	LUSC_52904	PRAD_11224	SKCM_39443	LIHC_94894	LUAD_100838	CHOL_31561	ESCA_55730	LGG_8325	BRCA_59013	BLCA_78147	PCPG_76917	KIRP_115374	COAD_114165	HNSC_7967	THCA_71503	LUSC_29163	LGG_25354	CESC_11270	CESC_1397	SKCM_19679
STAD_99402	BRCA_178920	TGCT_4642	SKCM_65162	TGCT_45787	HNSC_40798	PRAD_63566	SKCM_2198	LIHC_94869	LUAD_101372	MESO_38166	ESCA_55720	LGG_52046	MESO_25729	STAD_100027	PCPG_13332	KIRP_38381	COAD_18470	SKCM_13118	THCA_8073	LUSC_30850	ACC_72682	CHOL_13975	CESC_48501	CESC_11165
STAD_99357	TGCT_62744	BLCA_7080	ESCA_77543	GBM_49122	TGCT_32761	PRAD_78046	SKCM_1604	CHOL_4032	LUAD_39184	STAD_58565	STAD_77796	LGG_12706	BRCA_6704	CESC_46023	PCPG_40817	KIRC_70848	COAD_110985	BRCA_12055	THCA_55688	CESC_14432	SKCM_32899	BLCA_81206	CESC_377	CESC_2886
STAD_99318	CESC_46995	CHOL_3584	ESCA_77187	KIRC_59215	CESC_23299	PRAD_42846	SKCM_33221	LIHC_109650	LUAD_21534	CHOL_32261	ESCA_55690	LGG_58193	BRCA_51005	STAD_99904	PCPG_49303	KIRP_61179	COAD_85895	BRCA_121184	THCA_70546	CESC_26413	KIRC_30385	BLCA_81249	TGCT_13254	CESC_3329
ESCA_105182	TGCT_63135	CHOL_4835	HNSC_57935	TGCT_47625	MESO_34571	PRAD_23390	SKCM_10316	LIHC_44129	LUAD_101160	LUAD_67233	ESCA_83041	LGG_77249	BRCA_143412	BLCA_56461	PCPG_40807	TGCT_26275	CHOL_5343	BRCA_53743	THCA_70135	CESC_12607	KIRC_26841	GBM_14752	CESC_28147	CESC_3615
STAD_99307	TGCT_63073	CHOL_4392	STAD_73233	TGCT_46392	TGCT_30459	PRAD_50001	SKCM_25544	LIHC_92295	LUAD_101371	CHOL_33145	ESCA_55808	GBM_15197	BRCA_66322	STAD_99914	PCPG_34507	KIRP_62818	COAD_71378	LIHC_13492	THCA_42435	CESC_14162	KIRC_27888	GBM_15593	BLCA_90827	CHOL_38069
STAD_99425	KIRP_119622	CHOL_3952	ESCA_77085	GBM_49382	TGCT_32754	PRAD_26173	SKCM_7727	LIHC_60306	LUAD_31824	CHOL_33127	ESCA_56835	GBM_4761	CESC_5853	BLCA_83063	PCPG_80014	KIRP_113317	STAD_56835	BRCA_205014	THCA_49517	LUSC_28577	CESC_18684	GBM_14695	CESC_40349	ESCA_56508
STAD_99394	CESC_47246	CHOL_3297	ESCA_77947	CHOL_43701	LGG_36560	PRAD_96492	SKCM_99700	LIHC_81735	LUAD_69152	CHOL_32295	ESCA_82966	LGG_39662	BRCA_203698	STAD_99928	PCPG_58516	KIRC_73867	STAD_72926	BRCA_67339	THCA_45735	CESC_7012	ACC_28412	BLCA_93019	CESC_48325	PCPG_20912
BRCA_176070	TGCT_62101	CHOL_5017	STAD_73324	TGCT_72508	TGCT_32523	PRAD_109823	SKCM_1707	LIHC_62602	MESO_45204	CHOL_33029	ESCA_55682	LGG_6308	BRCA_104754	STAD_99930	PCPG_40010	KIRC_36503	CHOL_64713	MESO_8272	THCA_45451	BLCA_63748	MESO_24248	TGCT_14128	CESC_47929	CESC_7939
STAD_99358	BRCA_180605	CESC_5488	STAD_73127	TGCT_45762	STAD_47547	PRAD_86392	SKCM_94893	LIHC_83430	LUAD_101297	SKCM_53928	LGG_37132	LGG_23778	BRCA_113796	BLCA_89422	PCPG_83671	KIRP_59729	COAD_56112	UCEC_58598	THCA_30149	CESC_5661	KIRC_27483	BLCA_93021	CESC_31973	CHOL_40321
ESCA_105097	TGCT_62293	CHOL_3688	ESCA_78102	TGCT_47041	TGCT_31838	PRAD_14692	SKCM_79776	LIHC_68017	THCA_12309	SKCM_51797	ESCA_55685	GBM_30629	BRCA_178480	BLCA_97511	PCPG_15687	KIRP_103467	STAD_70695	CESC_6021	THCA_25682	LUSC_28202	CHOL_22392	GBM_15096	COAD_29130	CESC_11471
ESCA_105185	TGCT_61924	CHOL_3804	STAD_73694	TGCT_368	LUSC_52963	PRAD_5242	SKCM_94471	LIHC_9011	BRCA_152056	TGCT_34582	ESCA_82972	LGG_62398	BRCA_17779	BLCA_19229	PCPG_40806	KIRP_60140	COAD_13919	PRAD_86486	THCA_15213	LUSC_26248	KIRC_29849	BLCA_81825	TGCT_56899	TGCT_18222
ESCA_105084	BRCA_181091	CHOL_4494	SKCM_65176	TGCT_47036	TGCT_32972	PRAD_3468	SKCM_76337	LIHC_52096	LUAD_18413	SKCM_51622	STAD_77784	LGG_79379	BRCA_160693	BLCA_88418	PCPG_13331	CHOL_22064	COAD_9084	CESC_29511	THCA_9161	LUSC_29372	KIRC_30016	GBM_15082	CESC_15949	CESC_16718
BRCA_176104	TGCT_62573	CHOL_6528	STAD_73511	TGCT_47781	TGCT_31559	PRAD_97385	SKCM_99715	LIHC_78627	LUAD_13113	CHOL_32822	ESCA_55741	LGG_41976	BRCA_160476	BLCA_89440	PCPG_84719	KIRC_46849	COAD_40716	BRCA_116710	THCA_40734	CESC_14335	LGG_25387	LGG_14823	CESC_471	CESC_27648
STAD_99448	TGCT_62042	CHOL_3609	ESCA_77891	TGCT_45710	TGCT_32249	PRAD_21670	SKCM_31660	LIHC_12782	LUAD_18412	MESO_38556	STAD_49965	LGG_58060	PCPG_32208	CESC_35756	PCPG_57083	KIRP_56522	COAD_85684	TGCT_65604	THCA_2282	CESC_12452	TGCT_22929	GBM_15136	ESCA_564	CESC_9973
ESCA_105141	TGCT_63016	CESC_5130	ESCA_77217	TGCT_47655	GBM_35771	PRAD_95312	SKCM_52731	CHOL_3732	LUAD_45257	MESO_36839	ESCA_55666	LGG_24211	BRCA_65908	BLCA_58917	PCPG_62791	KIRC_80390	CHOL_33982	KIRP_49648	THCA_47045	LUSC_30202	MESO_23398	GBM_14820	CHOL_36370	CESC_16924
BRCA_175639	TGCT_62625	CHOL_3601	ESCA_77221	BLCA_64633	CESC_24501	PRAD_23681	SKCM_77709	LIHC_60474	LUAD_45487	CHOL_32651	ESCA_55750	LGG_9220	HNSC_46362	BLCA_98457	PCPG_77479	KIRC_62975	COAD_112425	MESO_70341	THCA_54949	CESC_12621	LGG_25113	SKCM_19024	PCPG_844	UCEC_58876
